Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1056518,2013-12-22 17:10:29,2013-12-22 17:16:50,36456,10936800,36456,300,5,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056518/SRR1056518.sralite.1,SRX397226,NuGEN_1347.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,114.542,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518165,SAMN02399318,simple,12637,Dengue virus,1347.1,,,,,,,no,,,,,BI,SRA122218,,public,713BE38ECDD7ECB72B4393F9DB2F1848,9D2430156BCBCEF00D4AB2C260FEBEF1
SRR1056460,2013-12-22 17:10:29,2013-12-22 17:12:54,189322,56796600,189322,300,31,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056460/SRR1056460.sralite.1,SRX397163,NuGEN_1358.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,79.7663,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518117,SAMN02399319,simple,12637,Dengue virus,1358.1,,,,,,,no,,,,,BI,SRA122218,,public,2571D28ABA968E4C85CB801548556B53,DBF5AB6A6312A50873477D5304F1754A
SRR1056500,2013-12-22 17:10:29,2013-12-22 17:15:30,123220,36966000,123220,300,19,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056500/SRR1056500.sralite.1,SRX397159,NuGEN_1408.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,109.301,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518113,SAMN02399360,simple,12637,Dengue virus,1408.1,,,,,,,no,,,,,BI,SRA122218,,public,6D7558BA5B32B5340E0B74977D034120,D0EE5B4F0DFCFE77113B5329957FD4A7
SRR1056509,2013-12-22 17:10:29,2013-12-22 17:15:30,99597,29879100,99597,300,16,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056509/SRR1056509.sralite.1,SRX397269,NuGEN_1449.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,93.5318,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518194,SAMN02399346,simple,12637,Dengue virus,1449.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,8F3F8862D5D523B710E568DCCA8C8F44,5DDAEF582484868B8A9FE340EB65E67D
SRR1056543,2013-12-22 17:10:29,2013-12-22 17:17:37,32252,9675600,32252,300,5,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056543/SRR1056543.sralite.1,SRX397210,NuGEN_1486.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,118.254,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518153,SAMN02399359,simple,12637,Dengue virus,1486.1,,,,,,,no,,,,,BI,SRA122218,,public,AA501B4106C536852792995423782356,D2E10290AB47307CC72C8FD1EE6ED486
SRR1056506,2013-12-22 17:10:29,2013-12-22 17:15:29,63659,19097700,63659,300,10,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056506/SRR1056506.sralite.1,SRX397185,NuGEN_1503.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,100.467,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518137,SAMN02399342,simple,12637,Dengue virus,1503.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,3E3DC1B15DE9827A5998F3C55C68EA3C,9352C17C4ACA4B7A6592B075F3424633
SRR1056468,2013-12-22 17:10:29,2013-12-22 17:12:56,214782,64434600,214782,300,34,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056468/SRR1056468.sralite.1,SRX397237,NuGEN_1504.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,117.434,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518176,SAMN02399358,simple,12637,Dengue virus,1504.1,,,,,,,no,,,,,BI,SRA122218,,public,81262F1FFC137B91303475954BF8E34D,9AE07425975B15905C0DB46D7CD548D0
SRR1056536,2013-12-22 17:10:29,2013-12-22 17:17:37,33852,10155600,33852,300,5,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056536/SRR1056536.sralite.1,SRX397234,NuGEN_1509.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,124.925,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518173,SAMN02399363,simple,12637,Dengue virus,1509.1,,,,,,,no,,,,,BI,SRA122218,,public,C867DAEB10306D105F27AA819F831266,D71C2055CBB1DD085E5E6264D96400B2
SRR1056478,2013-12-22 17:10:29,2013-12-22 17:14:50,54873,16461900,54873,300,8,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056478/SRR1056478.sralite.1,SRX397222,NuGEN_1528.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,132.016,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518162,SAMN02399344,simple,12637,Dengue virus,1528.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,69735867A9C86C602ACDDAB9AA5B14CF,D090AC764925CC295CB3F9DCEDA2F096
SRR1056550,2013-12-22 17:10:29,2013-12-22 17:19:00,37662,11298600,37662,300,6,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056550/SRR1056550.sralite.1,SRX397230,NuGEN_1748.8.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,116.311,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518169,SAMN02399331,simple,12637,Dengue virus,1748.8.a.1,,,,,,,no,,,,,BI,SRA122218,,public,D0883CCE2A77BCFF44B1E0C1846905D9,7EE2D823CCFBA69466365B586B67062E
SRR1056525,2013-12-22 17:10:29,2013-12-22 17:16:50,62668,18800400,62668,300,9,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056525/SRR1056525.sralite.1,SRX397225,NuGEN_1985.8.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,118.058,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518164,SAMN02399333,simple,12637,Dengue virus,1985.8.a.1,,,,,,,no,,,,,BI,SRA122218,,public,B1B3C23FB226F6CAF12BA88C987B7D85,A4D2E57F881991457AC4C36560BD08B8
SRR12578628,2020-09-03 07:57:46,2020-09-03 07:20:57,429678,61909267,230152,144,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12578/SRR12578628/SRR12578628.lite.1,SRX9065503,1B_lkp,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP279906,PRJNA661184,,661184,SRS7314667,SAMN16047577,simple,12637,Dengue virus,1B,,,,,,,no,,,,,UPPSALA UNIVERSITY,SRA1120756,,public,7B2198F5F1D994CAB6C3A70D42C23DBA,6994BDD48E75415CA11D5FE2AD258A4E
SRR12578627,2020-09-03 07:57:46,2020-09-03 07:20:57,317631,46166762,175037,145,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12578/SRR12578627/SRR12578627.lite.1,SRX9065504,1C_lkp,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP279906,PRJNA661184,,661184,SRS7314668,SAMN16047578,simple,12637,Dengue virus,1C,,,,,,,no,,,,,UPPSALA UNIVERSITY,SRA1120756,,public,58E4B12B4EA34BDF1E8C65ACCBE608B4,9C5F4BEE7B451BA7EB3869E238F2C90B
SRR8334942,2018-12-18 09:59:57,2018-12-18 04:09:19,11091,3006860,11091,271,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/334/SRR8334942/SRR8334942.sralite.1,SRX5146362,2,WGS,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP173751,PRJNA510506,,510506,SRS4156611,SAMN10606309,simple,12637,Dengue virus,2,,,,,,,no,,,,,KEMRI WELLCOME-TRUST,SRA824534,,public,45CE2406E0C2472B9664153B4A92D0C0,E750264B33E8DFF77870D7CE418AE6D3
SRR12187148,2020-07-10 03:38:15,2020-07-10 03:35:44,3127128,458261578,3127128,146,145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12187/SRR12187148/SRR12187148.lite.1,SRX8701166,BB-DENV-20544.metagenomic,OTHER,cDNA,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP271153,PRJNA623215,3,623215,SRS6978822,SAMN15393284,simple,12637,Dengue virus,20544,,,,,,,no,,,,,BROAD INSTITUTE,SRA1096954,,public,4FAF4B7E534CCA67F710D71A4A0B0726,ECC1977274338799CF4C0050D3A9A82A
SRR12187147,2020-07-10 03:37:33,2020-07-10 03:35:03,1096882,160310416,1096882,146,51,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12187/SRR12187147/SRR12187147.lite.1,SRX8701167,BB-DENV-20545.metagenomic,OTHER,cDNA,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP271153,PRJNA623215,3,623215,SRS6978823,SAMN15393285,simple,12637,Dengue virus,20545,,,,,,,no,,,,,BROAD INSTITUTE,SRA1096954,,public,BEF94C0FDC1CD6B26DE7B5FFF4E98B02,CC077DC709D42B56F835B681AADD7F18
SRR12187136,2020-07-10 03:41:31,2020-07-10 03:37:34,7900873,1150665601,7900873,145,373,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12187/SRR12187136/SRR12187136.lite.1,SRX8701178,BB-DENV-20547.metagenomic,OTHER,cDNA,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP271153,PRJNA623215,3,623215,SRS6978834,SAMN15393286,simple,12637,Dengue virus,20547,,,,,,,no,,,,,BROAD INSTITUTE,SRA1096954,,public,1D84B402C53B6D003B2804275E07CEAA,B242BC9F095D45A5E739688EC4B20B22
SRR12187125,2020-07-10 03:35:17,2020-07-10 03:34:22,656763,95899882,656763,146,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12187/SRR12187125/SRR12187125.lite.1,SRX8701189,BB-DENV-20553.metagenomic,OTHER,cDNA,METAGENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP271153,PRJNA623215,3,623215,SRS6978845,SAMN15393287,simple,12637,Dengue virus,20553,,,,,,,no,,,,,BROAD INSTITUTE,SRA1096954,,public,D1BB7109A2AA10A945064B75B1DEC20F,A0A77EC45974D358A3F3BB1278CFA1C8
SRR1056534,2013-12-22 17:10:29,2013-12-22 17:17:38,93380,28014000,93380,300,14,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056534/SRR1056534.sralite.1,SRX397227,NuGEN_2936.8.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,129.924,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518166,SAMN02399336,simple,12637,Dengue virus,2936.8.a.1,,,,,,,no,,,,,BI,SRA122218,,public,294E7D96FA992C6B90C204438DDDDC7C,FE0DB30EDB825C0B5BB6EC404FD5E555
SRR12578626,2020-09-03 07:57:46,2020-09-03 07:20:57,342400,53169589,212281,155,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12578/SRR12578626/SRR12578626.lite.1,SRX9065505,2A_lkp,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP279906,PRJNA661184,,661184,SRS7314669,SAMN16047579,simple,12637,Dengue virus,2A,,,,,,,no,,,,,UPPSALA UNIVERSITY,SRA1120756,,public,8BDA9E525A29EDB4D9C041215E34B859,308B2807CEF2582FC429774A274D71A6
SRR12578625,2020-09-03 07:57:46,2020-09-03 07:20:57,235655,34943837,139985,148,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12578/SRR12578625/SRR12578625.lite.1,SRX9065506,2B_lkp,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP279906,PRJNA661184,,661184,SRS7314670,SAMN16047580,simple,12637,Dengue virus,2B,,,,,,,no,,,,,UPPSALA UNIVERSITY,SRA1120756,,public,ACFF5DA4C785CC65A6C03D79D1B4837E,A65A69E082F9EB21B4D9235FAE27C716
SRR12578624,2020-09-03 07:57:46,2020-09-03 07:21:01,353012,54305839,217064,153,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12578/SRR12578624/SRR12578624.lite.1,SRX9065507,3_lkp,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP279906,PRJNA661184,,661184,SRS7314671,SAMN16047581,simple,12637,Dengue virus,3,,,,,,,no,,,,,UPPSALA UNIVERSITY,SRA1120756,,public,A6FC93B5A51E740B4C4C25E9FD7F313F,0680D0D6A0D4AD25852A4264F2E70E39
SRR8334943,2018-12-18 09:59:57,2018-12-18 04:09:38,1252855,354597345,1252855,283,234,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/334/SRR8334943/SRR8334943.sralite.1,SRX5146361,3,WGS,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP173751,PRJNA510506,,510506,SRS4156609,SAMN10606310,simple,12637,Dengue virus,3,,,,,,,no,,,,,KEMRI WELLCOME-TRUST,SRA824534,,public,0C9D255880AC73CBC0B0695FA29EBE7C,41A824991BBD77317546AD0044BA006A
SRR8787051,2019-03-26 13:11:17,2019-03-26 13:07:26,3718,1242459,3567,334,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/787/SRR8787051.sralite.1,SRX5576916,S46-20th-Den,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP189471,PRJNA526981,,526981,SRS4538923,SAMN11125257,simple,12637,Dengue virus,34,,,,,,,no,,,,,OXFORD UNIVERSITY CLINICAL RESEARCH UNIT,SRA866113,,public,E105E9D76A452050BFEBE5854B239960,5E8FC25093A46D4681966CE47F831F9C
SRR8787052,2019-03-26 13:11:17,2019-03-26 13:07:27,4960,1723046,4766,347,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/787/SRR8787052/SRR8787052.sralite.1,SRX5576915,S48-20th-Den,WGS,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP189471,PRJNA526981,,526981,SRS4538922,SAMN11125258,simple,12637,Dengue virus,35,,,,,,,no,,,,,OXFORD UNIVERSITY CLINICAL RESEARCH UNIT,SRA866113,,public,88BB32D7381A5F0DFA9A22E148A9BDDD,8635119F6DFA713C29A12C280F5230EA
SRR1056494,2013-12-22 17:10:29,2013-12-22 17:15:28,52513,15753900,52513,300,7,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056494/SRR1056494.sralite.1,SRX397273,NuGEN_3548.8.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,115.513,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518197,SAMN02399329,simple,12637,Dengue virus,3548.8.a.1,,,,,,,no,,,,,BI,SRA122218,,public,BA38EF4BA4C9304A94D3AEFE4CDF2D59,3CA96B5D04EF2ECFA0071EC68FCD9E45
SRR1056560,2013-12-22 17:10:29,2013-12-22 17:19:04,237600,71280000,237600,300,37,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/056/SRR1056560/SRR1056560.sralite.1,SRX397161,NuGEN_3554.9.a.1,WGS,RANDOM PCR,GENOMIC,PAIRED,430,88.2513,ILLUMINA,Illumina MiSeq,SRP014724,PRJNA31235,2,31235,SRS518115,SAMN02399345,simple,12637,Dengue virus,3554.9.a.1,,,,,,,no,,,,,BI,SRA122218,,public,F691BD2F9E243B0B9ED98C661790E9BF,23E90D70732362D2F5F61D3209BCF529
SRR30026880,2025-03-31 01:39:55,2024-07-29 22:35:31,2783516,707515188,2783516,254,229,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30026/SRR30026880/SRR30026880.lite.1,SRX25505852,36seq,WGS,Hybrid Selection,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina iSeq 100,SRP522907,PRJNA1141548,,1141548,SRS22160509,SAMN42896879,simple,12637,Dengue virus,36_CostaRica,,,,,,,no,,,,,UNIVERSIDAD DE COSTA RICA,SRA1935595,,public,E2EA77225BE8FE8907A73E4C33E38501,9E4FA6DEB5DF1E6BDED1B72AF4363A83
